normalized_law_name,article_raw,law_name_resolution_method,normalization_status,citation_count,decision_case_count,basis_date_count,selected_date_count,raw_law_names
개인정보 보호법,제35조,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제35조의2,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제35조의2제1항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
의료법,제35조의2제1항,source_text,candidate,1,1,1,1,의료법
개인정보 보호법,제35조의2제1항,inferred_default_pipa,candidate,1,1,1,1,
의료법,제35조의2제1항제1호,source_text,candidate,1,1,1,1,의료법
개인정보 보호법,제35조의2제1항제1호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제35조의2제1항제2호,inferred_default_pipa,candidate,1,1,1,1,
지방세기본법,제35조의2제4항,source_text,candidate,1,1,1,1,지방세기본법
개인정보 보호법,제35조의2제4항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제35조의2제4항제3호,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제35조의2제4항제3호,inferred_default_pipa,candidate,1,1,1,1,
의료법,제35조의2제4항제3호,source_text,candidate,1,1,1,1,의료법
개인정보 보호법,제35조제3항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제35조제4항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제35조제5항,inferred_default_pipa,candidate,1,1,1,1,
보안업무규정,제36조,source_text,candidate,1,1,1,1,보안업무규정
한국장학재단 설립 등에 관한 법률 시행령,제36조의2,source_text,candidate,1,1,1,1,한국장학재단 설립 등에 관한 법률 시행령
개인정보 보호법,제37조,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제37조제2항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제39조의12,inferred_default_pipa,candidate,1,1,1,1,
舊 개인정보보호 법규 위반에 대한 과징금 부과기준,제39조의15,source_text,needs_admin_rule_pass,1,1,1,1,舊 개인정보보호 법규 위반에 대한 과징금 부과기준
개인정보 보호법,제39조의15제1항제1호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제39조의15제4항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제39조의3제2항제2호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제39조의4제1항제3호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제39조의9,inferred_default_pipa,candidate,1,1,1,1,
출입국관리법,제3조,source_text,candidate,1,1,1,1,출입국관리법
개인정보 보호법 위반에 대한 공표 및 공표명령 지침(’23.10.11. 시행),제3조,source_text,needs_admin_rule_pass,1,1,1,1,개인정보 보호법 위반에 대한 공표 및 공표명령 지침(’23.10.11. 시행)
주류의 통신판매에 관한 명령위임 고시(국세청고시 제2023-12호),제3조,source_text,candidate,1,1,1,1,주류의 통신판매에 관한 명령위임 고시(국세청고시 제2023-12호)
개인정보 보호 법규 위반에 대한 징계권고 기준,제3조제1항제3호,source_text,candidate,1,1,1,1,개인정보 보호 법규 위반에 대한 징계권고 기준
개인정보 보호법,제3조제1항제6호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제3조제1항제8호,inferred_default_pipa,candidate,1,1,1,1,
질서위반행위규제법,제3조제2항,source_text,candidate,1,1,1,1,질서위반행위규제법
개인정보 보호법,제3조제3항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제3조제5항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제40조제2항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제41조,normalized_alias,candidate,1,1,1,1,개인정보 보호법
근로기준법,제41조제1항,source_text,candidate,1,1,1,1,근로기준법
개인정보 보호법,제41조제2항,inferred_default_pipa,candidate,1,1,1,1,
고용정책기본법 시행령,제43조의2제1항,source_text,candidate,1,1,1,1,고용정책기본법 시행령
개인정보 보호법,제46조,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제48조,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제48조의2,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제48조의2제1항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제48조의3,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제48조의4제4항,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제49조의11제1항,inferred_default_pipa,candidate,1,1,1,1,
민사소송 등에서의 전자문서 이용 등에 관한 법률,제4조,source_text,candidate,1,1,1,1,민사소송 등에서의 전자문서 이용 등에 관한 법률
개인정보 보호법,제4조제3호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제4조제4항제5호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제4조제5항제2호,inferred_default_pipa,candidate,1,1,1,1,
한국장학재단 설립 등에 관한 법률,제50조의2제10호,source_text,candidate,1,1,1,1,한국장학재단 설립 등에 관한 법률
개인정보 보호법,제530조,inferred_default_pipa,candidate,1,1,1,1,
청소년성보호법,제56조,source_text,candidate,1,1,1,1,청소년성보호법
개인정보 보호법,제59조제1호,inferred_default_pipa,candidate,1,1,1,1,
개인정보 보호법,제59조제1호,normalized_alias,candidate,1,1,1,1,개인정보 보호법
개인정보 보호법,제59조제3호,inferred_default_pipa,candidate,1,1,1,1,
전기통신사업법,제5조,source_text,candidate,1,1,1,1,전기통신사업법
생활물류서비스산업발전법,제5조,source_text,candidate,1,1,1,1,생활물류서비스산업발전법
개인정보 보호법,제5조제1항,normalized_alias,candidate,1,1,1,1,개인정보 보호법
